Week;Loc1;Loc2
1;7;3
2;7.0219;3.051
3;7.0872;3.2034
4;7.195;3.4549
5;7.3436;3.8018
6;7.531;4.2391
7;7.7545;4.7604
8;8.0106;5.3581
9;8.2958;6.0235
10;8.6058;6.7469
11;8.9362;7.5178
12;9.2821;8.3248
13;9.6384;9.1562
14;10;10
15;10.362;10.844
16;10.718;11.675
17;11.064;12.482
18;11.394;13.253
19;11.704;13.976
20;11.989;14.642
21;12.246;15.24
22;12.469;15.761
23;12.656;16.198
24;12.805;16.545
25;12.913;16.797
26;12.978;16.949
27;13;17
28;12.978;16.949
29;12.913;16.797
30;12.805;16.545
31;12.656;16.198
32;12.469;15.761
33;12.246;15.24
34;11.989;14.642
35;11.704;13.976
36;11.394;13.253
37;11.064;12.482
38;10.718;11.675
39;10.362;10.844
40;10;10
41;9.6384;9.1562
42;9.2821;8.3248
43;8.9362;7.5178
44;8.6058;6.7469
45;8.2958;6.0235
46;8.0106;5.3581
47;7.7545;4.7604
48;7.531;4.2391
49;7.3436;3.8018
50;7.195;3.4549
51;7.0872;3.2034
52;7.0219;3.051
